"filename", "language", "JavaScript", "PHP", "CSS", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\2025_04_07_180552_create_document_users_table.php", "PHP", 0, 20, 0, 0, 0, 0, 6, 5, 31
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\2025_05_04_135626_create_section_swap_requests_table.php", "PHP", 0, 21, 0, 0, 0, 0, 6, 4, 31
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\2025_05_04_135637_create_section_swap_applications_table.php", "PHP", 0, 28, 0, 0, 0, 0, 6, 4, 38
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\seeders\CourseAndFacultySeeder.php", "PHP", 0, 10, 0, 0, 0, 0, 4, 4, 18
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\seeders\DatabaseSeeder.php", "PHP", 0, 18, 0, 0, 0, 0, 6, 7, 31
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\seeders\FacultySeeder.php", "PHP", 0, 51, 0, 0, 0, 0, 3, 5, 59
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\seeders\PermissionSeeder.php", "PHP", 0, 39, 0, 0, 0, 0, 7, 5, 51
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\seeders\RoleSeeder.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 6, 20
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\package.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\phpunit.xml", "XML", 0, 0, 0, 0, 0, 31, 2, 1, 34
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\public\index.php", "PHP", 0, 10, 0, 0, 0, 0, 4, 7, 21
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\resources\css\app.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\resources\js\app.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\resources\js\bootstrap.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\resources\views\welcome.blade.php", "PHP", 0, 270, 0, 0, 0, 0, 0, 8, 278
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\routes\api.php", "PHP", 0, 55, 0, 0, 0, 0, 13, 29, 97
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\routes\web.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\tests\Feature\AuthTest.php", "PHP", 0, 30, 0, 0, 0, 0, 5, 11, 46
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\tests\Feature\ExampleTest.php", "PHP", 0, 11, 0, 0, 0, 0, 4, 5, 20
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\tests\TestCase.php", "PHP", 0, 6, 0, 0, 0, 0, 1, 4, 11
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\tests\Unit\ExampleTest.php", "PHP", 0, 10, 0, 0, 0, 0, 3, 4, 17
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\vite.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 16, 2162, 10, 45, 8922, 31, 980, 667, 12833
